Respondent ID,Collector ID,Start Date,End Date,Do you use GitHub?,Do you implement GitHub in the classroom?,How familiar are you with GitHub?,How likely is it that you would recommend GitHub to a friend or colleague?,Do you use any sort of version control system in your classes?,Do you use GitHub Classroom?,What version control systems do you use in your course(s)? Select all that apply,,,,Which of the following Git features do you use in your courses?,,,,,,,,Which of the following GitHub features do you use in your courses? (Select all that apply),,,,,,,,,,,,Do you use GitHub to provide students in your course(s) with feedback on assignments?,Do students in your course(s) use GitHub to provide each other with feedback on assignments?,How long have you been using GitHub?,How long have you been implementing GitHub in your course(s)?,"In the future, will you continue to use GitHub in your course(s)?","In the future, will you use GitHub in your course(s)?",How easy or difficult was it to implement GitHub in the classroom?,How familiar were you with GitHub before implementing it in the classroom?,What tool(s) or resource(s) did you use to help with implementing GitHub in the classroom?,Which programming language(s) do you teach? (Select all that apply),,,,,,,,,,,,,What grade(s) or year(s) do you typically teach?,,,,,,,,,,,"In the course(s) where you implement GitHub, roughly what percentage of students' overall grade is determined by individual assignments?","In the course(s) where you implement GitHub, roughly what percentage of students' overall grade is determined by group assignments?",Roughly what percentage of students' overall grade is determined by individual assignments?,Roughly what percentage of students' overall grade is determined by group assignments?,Which of the following integrated development environments (IDEs) do students typically use in your courses? Select all that apply,,,,,,,,,,,,,,,,,About how many years have you been an instructor in your field?,What courses do you typically teach?,,,,,,,,,,,,,,,,,,,,,,,Age,Gender,,Race and Ethnicity (Select all that apply),,,,,,,,In what country do you live?
10671556755,230691319,4/17/19 14:46,4/17/19 20:34,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Extremely familiar,10,Yes,Yes,Git,,,,Commits,Branches,Adding a remote,Push / Pull,Resolving merge conflicts,Rebase,,,Issues,Labels,README.md,Pull requests,Projects,Forks,,Gists,Insights,GitHub pages,,,Yes,Yes,More than 3 years,1 year - 3 years,Yes,,Difficult,Extremely familiar,"Github classroom, github swag",,HTML,CSS,SQL,Java,,Python,,,PHP,,,,,,,,College freshmen,College sophomores,College juniors,College seniors,,Non-traditional students,,50,50,,,Android Studio,,,,IntelliJ,,,Notepad++,PHPStorm,PyCharm,,Sublime Text,,Visual Studio,,,,9,,,,Architecture and Organization,,Computer Science I,,,,,,,,,,Platform-based Development,Programming Languages,,Software Development Fundamentals,,,,,,Male,,,,,,,,White or of European descent,,United States of America
10671553019,230691319,4/17/19 14:44,4/17/19 14:46,"Yes, I currently use GitHub","No, and I would not like to implement GitHub in the classroom",Extremely familiar,7,"No, but I would like to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10671550564,230691319,4/17/19 14:43,4/17/19 14:49,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Very familiar,9,Yes,No,Git,,,,Commits,Branches,,Push / Pull,,,,,,,README.md,Pull requests,Projects,Forks,,,,GitHub pages,,,No,No,1 year - 3 years,1 year - 3 years,Yes,,Easy,Very familiar,none,JavaScript,HTML,CSS,,,,Python,,,,,,,,,,,,College sophomores,College juniors,College seniors,Graduate level students,,,80,20,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,Human-Computer Interaction,,,,,,,,,,,Web development,,38,Male,,,,,,,,White or of European descent,,United States of America
10671539883,230691319,4/17/19 14:38,4/17/19 14:44,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Extremely familiar,10,Yes,Yes,Git,,,,Commits,,Adding a remote,Push / Pull,,,,,,,README.md,,Projects,,,Gists,,GitHub pages,,,Yes,Yes,More than 3 years,More than 3 years,Yes,,Very easy,Extremely familiar,I wrote my own scripts using Ruby + Ockokit,JavaScript,HTML,CSS,,,,Python,,,,,,,,,,,College freshmen,College sophomores,College juniors,College seniors,Graduate level students,,,85,15,,,,Atom,,Emacs,,,,,,,,Sublime Text,Vim,,Visual Studio Code,,,15,,,,,,,,,,,,,,,,,,Security,,Software Engineering,,Web development,,40,Male,,,East Asian,,,,,,,United States of America
10671536272,230691319,4/17/19 14:36,4/17/19 15:28,"No, but I used to use GitHub","No, but I would like to implement GitHub in the classroom",Moderately familiar,8,"No, but I would like to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,JavaScript,HTML,,,Java,,,,,,,,"Swift, Arduino, Scratch",,,,,,,,,,,Middle school (grades 6-8),,,50,50,Android Studio,,,,,,,,,,,,,,,,"Arduino, Xcode",5,Algorithms,,,,,Computer Science I,Computer Science II,,,,,,,,,,,,Software Development Fundamentals,,,Web development,,47,Male,,,,,,"Native American, Pacific Islander, or Indigenous Australian",,White or of European descent,,United States of America
10671530550,230691319,4/17/19 14:33,4/17/19 14:47,"Yes, I currently use GitHub","No, but I would like to implement GitHub in the classroom",Very familiar,9,Yes,,Git,,,,Commits,Branches,Adding a remote,Push / Pull,Resolving merge conflicts,,,,,,,,,,,,,,,,,,More than 3 years,,,Yes,,,,JavaScript,,,,,,,,,,,,,,,,,,College sophomores,College juniors,,,,,,,33,33,,,,,,,,,,,,,,,Visual Studio Code,,,15,,,,,,Computer Science I,Computer Science II,,,,,,,,,,,,,,,Web development,,45,Male,,,East Asian,,,,,,,Japan
10671530468,230691319,4/17/19 14:33,4/17/19 14:46,"Yes, I currently use GitHub","No, but I would like to implement GitHub in the classroom",Moderately familiar,10,"No, but I would like to",,,,,,,,,,,,,,,,,,,,,,,,,,,,1 year - 3 years,,,Yes,,,,,,,,,,,,,,C++,,,,,,,College freshmen,,,,,,,,,25,75,,,,,,,,,,,,,,Visual Studio,,,,5,,,,,,,,,Data Structures,,,,,,,,Programming Languages,,Software Development Fundamentals,Software Engineering,,,,31,Male,,,,,,,South Asian,,,Pakistan
10671505175,230691319,4/17/19 14:22,4/17/19 15:11,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Very familiar,10,Yes,Yes,Git,,,,Commits,Branches,Adding a remote,Push / Pull,Resolving merge conflicts,Rebase,,,,,README.md,,,Forks,,Gists,,GitHub pages,,,No,No,More than 3 years,More than 3 years,Yes,,Easy,Moderately familiar,The internet ,JavaScript,HTML,CSS,,Java,Bash/Shell,Python,,,,,C,,,,High school juniors,High school seniors,,,,,,,,60,20,,,,,,,IntelliJ,,,,,,,,,,Visual Studio Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10671500413,230691319,4/17/19 14:20,4/17/19 14:31,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Extremely familiar,10,Yes,Yes,Git,,,,Commits,Branches,Adding a remote,Push / Pull,Resolving merge conflicts,Rebase,,,,,README.md,Pull requests,Projects,Forks,,Gists,,,,,No,No,More than 3 years,1 year - 3 years,Yes,,Easy,Moderately familiar,"GitHub classroom, organization",,,,SQL,Java,,Python,,,,,C,,,,,,,College sophomores,,College seniors,,,,70,30,,,Android Studio,,,,IntelliJ,,NetBeans,,,PyCharm,RStudio,,Vim,,Visual Studio Code,,,12,,,,,,,,,,,,,,,Parallel and Distributed Computing,,Programming Languages,Security,,,,,,41,Male,,,,,,,,White or of European descent,,Brazil
10671485146,230691319,4/17/19 14:13,4/17/19 14:38,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Very familiar,10,Yes,Yes,Git,,,,Commits,Branches,Adding a remote,Push / Pull,Resolving merge conflicts,,,,Issues,Labels,README.md,Pull requests,Projects,Forks,,,,GitHub pages,,,No,No,More than 3 years,More than 3 years,Yes,,,Moderately familiar,,JavaScript,HTML,CSS,SQL,Java,,Python,,,,,,"Swift, Kotlin",,,,,,,College juniors,,,,,81,22,,,Android Studio,Atom,,,IntelliJ,,,Notepad++,,PyCharm,,,,Visual Studio,,,,7,,,,,,,,,,,,,,,,,Programming Languages,,,Software Engineering,,Web development,,,,,,,,,,,,,United States of America
10671479198,230691319,4/17/19 14:10,4/17/19 14:52,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Moderately familiar,8,Yes,Yes,Git,,,,Commits,Branches,,Push / Pull,Resolving merge conflicts,,,,Issues,,README.md,,Projects,,,,,,,,No,No,More than 3 years,1 year - 3 years,Yes,,Easy,Slightly familiar,Github,,,,SQL,Java,Bash/Shell,Python,R,,,C++,,"Prolog, Scala",,,,,College freshmen,College sophomores,College juniors,College seniors,,,,68,22,,,,,Eclipse,,,,,Notepad++,,,,,,,,,,12,Algorithms,,,,,Computer Science I,Computer Science II,,Data Structures,,,,,,,,Programming Languages,,,Software Engineering,,,"Database, Operations Research",39,Female,,,,,,,,White or of European descent,,United States of America
10671478162,230691319,4/17/19 14:10,4/17/19 14:17,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Moderately familiar,8,Yes,No,Git,,,,Commits,Branches,,Push / Pull,,,,,,,README.md,,Projects,,Stars,,,,,,No,No,1 year - 3 years,1 - 6 months,Yes,,Neither easy nor difficult,Moderately familiar,,,,,,,,,R,,,,,,,,,,,College sophomores,College juniors,College seniors,,,,0,0,,,,Atom,,,,,,,,PyCharm,RStudio,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,"biostats, ecological data analysis with R",51,Female,,,,,,,,White or of European descent,,United States of America
10671455245,230691319,4/17/19 14:01,4/17/19 14:08,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Very familiar,10,"No, but I would like to",Yes,,,,,,,,,,,,,,,README.md,,Projects,,,,,,,,Yes,No,1 year - 3 years,1 year - 3 years,Yes,,Easy,Not at all familiar,EGit in eclipse,,,,,Java,,,,,,C++,C,,,,,,College freshmen,College sophomores,College juniors,College seniors,,,,25,25,,,,,Eclipse,,,,,,,,,,,,,XCode,,4,,,,,,Computer Science I,Computer Science II,,,,,,Networking and Communication,Operating Systems,,,,,,,,,,39,Female,,,,,,,South Asian,,,United States of America
10671452162,230691319,4/17/19 14:00,4/17/19 14:07,"Yes, I currently use GitHub","No, but I would like to implement GitHub in the classroom",Extremely familiar,9,Yes,,Git,,,,Commits,Branches,Adding a remote,Push / Pull,Resolving merge conflicts,,,,,,,,,,,,,,,,,,More than 3 years,,,Yes,,,,JavaScript,HTML,CSS,,,,,,,,,,,,,,High school seniors,,,,,,,,,,80,38,,,Eclipse,,,,,,,,,Sublime Text,,,Visual Studio Code,,,2,,,,,,,,,,,,,,,,,Programming Languages,,,,,Web development,,28,Male,,,,Hispanic or Latino/Latina,,,,,,Argentina
10671442611,230691319,4/17/19 13:55,4/17/19 14:05,"No, but I used to use GitHub","No, and I would not like to implement GitHub in the classroom",Extremely familiar,0,Yes,,Git,,,,Commits,,,Push / Pull,Resolving merge conflicts,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,Java,,Python,,,,,,,,,,,,,College juniors,,,,,,,50,50,,,,Emacs,,,,,,,,,Vim,,,,,21,Algorithms,,,,,,,,Data Structures,,,,,,,,,,,,,,Pedagogical 3d animations,42,Male,,,,,,,,White or of European descent,,Chile
10671436703,230691319,4/17/19 13:52,4/17/19 14:00,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Extremely familiar,10,Yes,Yes,Git,,,,Commits,Branches,Adding a remote,Push / Pull,,,,,Issues,,,Pull requests,,Forks,Stars,Gists,,GitHub pages,,,Yes,Yes,More than 3 years,6 months - 1 year,Yes,,Very easy,Very familiar,Terminal and articles,JavaScript,HTML,CSS,SQL,Java,,,,,PHP,,,,,,High school juniors,,College freshmen,,College juniors,,Graduate level students,,,86,94,,,,Atom,,,,,NetBeans,,,,,Sublime Text,,,Visual Studio Code,,,2,Algorithms,,,Architecture and Organization,Artificial Intelligence,Computer Science I,Computer Science II,,Data Structures,Graphics and Visualization,Human-Computer Interaction,Machine Learning,,Operating Systems,Parallel and Distributed Computing,Platform-based Development,Programming Languages,,Software Development Fundamentals,Software Engineering,,Web development,,30,Male,,,,Hispanic or Latino/Latina,,,,,,Brazil
10671435798,230691319,4/17/19 13:53,4/17/19 13:55,"Yes, I currently use GitHub","No, but I would like to implement GitHub in the classroom",Slightly familiar,9,"No, but I would like to",,,,,,,,,,,,,,,,,,,,,,,,,,,,More than 3 years,,,Maybe,,,,,,,,,Bash/Shell,,,,,,,,,,,,,,,,,Non-traditional students,,,,,,,,,,,,,,,,,,Vim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10671434727,230691319,4/17/19 13:52,4/17/19 14:11,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Very familiar,9,Yes,Yes,Git,,,,Commits,Branches,,Push / Pull,Resolving merge conflicts,,,,Issues,Labels,README.md,Pull requests,Projects,,Stars,Gists,Insights,GitHub pages,,,Yes,Yes,More than 3 years,6 months - 1 year,Yes,,Difficult,Very familiar,GitHub Classrooms,JavaScript,HTML,CSS,,Java,,Python,R,,PHP,C++,C,,,,,,,College sophomores,College juniors,College seniors,Graduate level students,,,40,40,,,,Atom,Eclipse,,IntelliJ,IPython / Jupyter,,,PHPStorm,PyCharm,RStudio,Sublime Text,,,,,,4,Algorithms,,,,,,,,Data Structures,Graphics and Visualization,,,,,,,Programming Languages,,,,,Web development,,49,Male,,,,,,,South Asian,,,United States of America
10671431043,230691319,4/17/19 13:51,4/17/19 13:54,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Very familiar,10,Yes,No,Git,,,,Commits,Branches,Adding a remote,Push / Pull,Resolving merge conflicts,,,,Issues,Labels,README.md,Pull requests,,,,,,GitHub pages,,,No,No,More than 3 years,1 year - 3 years,Yes,,Difficult,Very familiar,,JavaScript,HTML,CSS,,,,,,,PHP,,,,,,,,College freshmen,College sophomores,College juniors,,,,,49,30,,,,,Eclipse,,,,,Notepad++,PHPStorm,,,,,Visual Studio,,,,4,,,,,,,,,,,,,,,,,Programming Languages,,,,,Web development,,30,Male,,,,,,,,White or of European descent,,United States of America
10671430389,230691319,4/17/19 13:49,4/17/19 14:03,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Very familiar,10,Yes,Yes,Git,,,,Commits,Branches,,Push / Pull,Resolving merge conflicts,,,,,,README.md,Pull requests,,Forks,,,Insights,,,,Yes,No,More than 3 years,6 months - 1 year,Yes,,Very easy,Moderately familiar,Workshop at CCSC-NW 2018 was helpful.  I learned about GitHub Classroom which has streamlined the experience.,,,,,Java,,Python,,,,C++,C,,,,,,College freshmen,College sophomores,College juniors,College seniors,,,,50,50,,,Android Studio,Atom,,,,,,,,,,,Vim,Visual Studio,Visual Studio Code,XCode,,6,,,,Architecture and Organization,,Computer Science I,Computer Science II,,Data Structures,,,,Networking and Communication,Operating Systems,,,,,,,,,,,,,,,,,,,,,
10671429726,230691319,4/17/19 13:50,4/17/19 13:51,"No, and I have never used GitHub","No, and I would not like to implement GitHub in the classroom",,,"No, but I would like to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,High school juniors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10671427016,230691319,4/17/19 13:49,4/17/19 13:56,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Very familiar,10,Yes,No,Git,,,,Commits,Branches,,Push / Pull,Resolving merge conflicts,Rebase,,,Issues,,README.md,,,,,,,GitHub pages,,,No,No,More than 3 years,1 year - 3 years,Yes,,Difficult,Very familiar,I wish I had a tool for adding all my students to an organization... but finding/adding collaborators is continually a pain point on Github.,JavaScript,,,,,,Python,,,,,,CoffeeScript,,,,,College freshmen,College sophomores,College juniors,College seniors,Graduate level students,,,20,80,,,,,,,,,,,,,,Sublime Text,Vim,,,,,18,Algorithms,,,,,,Computer Science II,,Data Structures,,,,,,,,,,,,,,,38,Male,,,,,,,,,,United States of America
10671426633,230691319,4/17/19 13:49,4/17/19 14:01,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Moderately familiar,8,Yes,No,Git,,,,Commits,Branches,Adding a remote,Push / Pull,,,,,,,README.md,,,,,Gists,,,,,Yes,No,More than 3 years,More than 3 years,Yes,,Neither easy nor difficult,Slightly familiar,Visual Studio code. Github documentation.,JavaScript,HTML,CSS,,,Bash/Shell,,,,,,,,,,,,College freshmen,,,,Graduate level students,Non-traditional students,Continuing education,70,30,,,,Atom,,,,,,,,,,Sublime Text,,,Visual Studio Code,,,25,,,,,,,,,,,,,,,,,,,,,,Web development,,59,Male,,,,,,,,White or of European descent,,United States of America
10671425246,230691319,4/17/19 13:49,4/17/19 13:52,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Very familiar,8,Yes,No,Git,,Subversion,,Commits,Branches,Adding a remote,Push / Pull,Resolving merge conflicts,,,,Issues,Labels,README.md,Pull requests,Projects,Forks,Stars,Gists,,GitHub pages,,,Yes,Yes,More than 3 years,6 months - 1 year,Yes,,Easy,Moderately familiar,,JavaScript,HTML,CSS,,,,Python,,C#,,,,,,,,,,,,,Graduate level students,,,31,24,,,,,,,,,,Notepad++,,PyCharm,,,,,Visual Studio Code,XCode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10671421518,230691319,4/17/19 13:47,4/17/19 13:54,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Extremely familiar,10,Yes,Yes,Git,,,,Commits,Branches,,Push / Pull,Resolving merge conflicts,,,,Issues,Labels,README.md,Pull requests,,,,,,GitHub pages,,,No,Yes,More than 3 years,1 year - 3 years,Yes,,Neither easy nor difficult,Not at all familiar,Online tutorials. ,,,,,,Bash/Shell,Python,,,,C++,C,,,,,,College freshmen,College sophomores,College juniors,College seniors,Graduate level students,,,60,20,,,,,,,,IPython / Jupyter,,,,PyCharm,,,Vim,,Visual Studio Code,,,6,Algorithms,,,Architecture and Organization,,,Computer Science II,,Data Structures,,,,,Operating Systems,,,Programming Languages,,Software Development Fundamentals,Software Engineering,Systems Architecture,,,40,Male,,,,Hispanic or Latino/Latina,,,,,,United States of America
10671420678,230691319,4/17/19 13:47,4/17/19 13:53,"Yes, I currently use GitHub","No, but I would like to implement GitHub in the classroom",Moderately familiar,10,Yes,,Git,,,,Commits,Branches,Adding a remote,Push / Pull,,,,,,,,,,,,,,,,,,,More than 3 years,,,Yes,,,,,,,,,Bash/Shell,Python,,,,,,,High school freshmen,High school sophomores,High school juniors,High school seniors,College freshmen,College sophomores,College juniors,,,,,,,50,50,,,,,,,,,,,,,,,Visual Studio Code,,,10,,,,,,,,,,,,Machine Learning,,,,,Programming Languages,,,,,,,42,Male,,,East Asian,,,,,,,
10671420259,230691319,4/17/19 13:46,4/17/19 13:52,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Very familiar,10,Yes,Yes,Git,,,,Commits,,Adding a remote,Push / Pull,,,,,,,README.md,Pull requests,,Forks,,,,,,,Yes,No,More than 3 years,1 year - 3 years,Yes,,Easy,Moderately familiar,Walkthroughs posted on the GitHub education forum,,HTML,CSS,SQL,Java,,Python,,,,,C,,High school freshmen,High school sophomores,High school juniors,High school seniors,,,,,,,,40,0,,,,,,,,,,,,,,,,,,,Cloud9,4,,AP Computer Science - A,AP Computer Science - Principles,,,,,,,,,,,,,,,,,,,,,32,Male,,,,,,,,White or of European descent,,United States of America
10671416425,230691319,4/17/19 13:45,4/17/19 13:50,"Yes, I currently use GitHub","Yes, I implement GitHub in the classroom",Very familiar,8,Yes,No,Git,,,,Commits,,,Push / Pull,,,,,,,README.md,,,,,,,GitHub pages,,,No,No,More than 3 years,6 months - 1 year,No,,Neither easy nor difficult,Very familiar,,,,,,,,Python,,,,,,"Arduino, Processing",,,High school juniors,High school seniors,,,,,,,,99,0,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,"Elec Eng, Physics, AP Physics",40,Male,,,,,,,,White or of European descent,,United States of America
10660073213,230691319,4/12/19 7:37,4/17/19 11:39,"Yes, I currently use GitHub","No, and I would not like to implement GitHub in the classroom",Slightly familiar,,"No, but I would like to",,,,,,Commits,Branches,,,Resolving merge conflicts,,,,,,,,,,,,,,,,,,Less than a month,,,Maybe,,,,JavaScript,,,SQL,Java,,Python,,,,,,,,,High school juniors,,,,,,Graduate level students,,,,,26,25,Android Studio,,,Emacs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
